trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.7, 'e': 0.47760556926165926}",25,0,-114.97182219518916,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
26,False,"{'a': 0.7, 'e': 0.4636947274385041}",25,0,-76.9066207275333,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.7, 'e': 0.45018905576553797}",30,4,-113.47597070249013,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 2}",1
28,False,"{'a': 0.7, 'e': 0.4370767531704252}",25,0,29.34407032756358,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.4243463623013837}",20,0,15.33145876264887,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.41198675951590646}",30,0,-72.73258359332924,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.39998714516107425}",25,0,-33.19553781691111,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.3883370341369653}",20,0,-50.615592439910166,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
33,False,"{'a': 0.7, 'e': 0.37702624673491775}",20,0,-22.288178291533658,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.3660448997426386}",25,14,10.52175425327792,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.35538339780838696}",20,0,-10.37977630976843,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.7, 'e': 0.34503242505668635}",30,15,-23.682569592615785,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.33498293694823916}",20,0,-59.610724960488284,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
38,False,"{'a': 0.7, 'e': 0.3252261523769312}",20,0,18.288337337740526,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.7, 'e': 0.31575354599702055}",25,8,12.847647265344438,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.30655684077380635}",25,10,-10.030604653417356,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.2976280007512683}",20,0,-30.022936167857928,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.7, 'e': 0.28895922403035756}",25,10,16.138921578214713,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.28054293595180346}",20,5,15.201708083811209,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.27237178247747906}",25,0,-1.8022589083391647,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.7, 'e': 0.26443862376454275}",20,8,1.2399230453898902,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.2567365279267405}",20,15,-32.61270588835019,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.7, 'e': 0.24925876497741797}",25,0,-71.87981100810026,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.7, 'e': 0.2419988009489495}",25,0,-2.5089287163868335,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.2349502921834461}",20,5,28.807471898356642,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.22810707978975348}",20,13,13.307623225235092,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.22146318426189657}",25,10,-6.696287700858281,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.2150128002542685}",25,0,-50.60146072025129,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.7, 'e': 0.20875029150899854}",25,10,28.76625679046848,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.20267018593106653}",20,8,20.817519087732048,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.1967671708068607}",25,9,15.356228940034983,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.19103608816200068}",25,15,14.92188435360595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.1854719302543696}",25,8,28.453307381076268,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.18006983519841707}",25,3,-8.47584938363779,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
